No.,物件番号,物件種目,土地面積,所在地
取引態様,価格,用途地域,㎡単価,
取引状況,建ぺい率,坪単価,沿線駅,交通
,容積率,接道状況,商号
,接道１,電話番号
1,100127897921,売地,60.73㎡,東京都江戸川区平井６丁目
売主,"3,180万円",一住,52.4万円,
-,60%,173.2万円,総武中央線　平井,徒歩　8分
,300%,一方,（株）スプリングコーポレーション
,北東3.3m,090-2330-8607
2,100127896924,売地,179.00㎡,東京都江戸川区平井２丁目
専属,"9,200万円",一住,51.4万円,
公開中,60%,170.0万円,総武中央線　平井,徒歩　8分
,200%,-,住友不動産販売（株）　錦糸町営業センター
,-,050-3112-8317
3,100127891332,売地,69.68㎡,千葉県市川市市川南３丁目
専任,"3,980万円",一住,57.2万円,
公開中,60%,188.9万円,総武中央線　市川,徒歩　8分
,168%,角地,野村不動産ソリューションズ（株）　錦糸町センター
,北西4.2m,03-5625-4180
4,100127891037,売地,75.12㎡,千葉県市川市市川南４丁目
専任,"4,900万円",一住,65.3万円,
公開中,60%,215.7万円,総武中央線　市川,徒歩　9分
,200%,一方,三井不動産リアルティ（株）三井のリハウス本八幡北センター
,南西3.6m,047-329-3101
5,100127817964,売地,167.29㎡,千葉県千葉市花見川区幕張本郷２丁目
専任,"5,580万円",一中,33.4万円,
申込あり,60%,110.3万円,総武中央線　幕張本郷,徒歩　6分
,200%,一方,三井不動産リアルティ（株）三井のリハウス津田沼センター
,北東16m,047-475-3131
6,100127670687,売地,120.69㎡,千葉県船橋市東船橋４丁目
専任,"4,880万円",二住,40.5万円,
公開中,60%,133.7万円,総武中央線　東船橋,徒歩　6分
,200%,一方,三井不動産リアルティ（株）三井のリハウス船橋センター
,北西2.9m,047-426-5531
7,100125211589,売地,77.97㎡,東京都葛飾区新小岩２丁目
専任,"5,780万円",一住,74.2万円,
申込あり,60%,245.1万円,総武中央線　新小岩,徒歩　6分
,300%,一方,三井不動産リアルティ（株）三井のリハウス本八幡北センター
,東6.3m,047-329-3101
8,100126722395,売地,165.36㎡,千葉県千葉市花見川区検見川町２丁目
売主,"2,880万円",一住,17.5万円,
-,60%,57.6万円,総武中央線　新検見川,徒歩　10分
,200%,一方,（株）かまとり住宅
,-,043-223-6006
9,100127837657,売地,83.33㎡,東京都葛飾区新小岩２丁目
専属,"5,480万円",一住,65.8万円,
公開中,60%,217.4万円,総武線　新小岩,徒歩　6分
,250%,一方,東急リバブル（株）　新小岩センター
,南東6.3m,03-6777-5109
10,100126720491,売地,194.95㎡,千葉県習志野市津田沼１丁目
専任,"5,980万円",一住,30.7万円,
公開中,60%,101.5万円,総武線　津田沼,徒歩　9分
,160%,一方,東急リバブル（株）　津田沼センター
,南西4m,050-3101-1185
11,100126613021,売地,116.84㎡,東京都葛飾区東四つ木３丁目
専属,"4,280万円",準工,36.7万円,
公開中,60%,121.1万円,京成押上線　四ツ木,徒歩　3分
,200%,一方,（株）萬燈
,西3.1m,03-6451-1537
12,100126985559,売地,60.63㎡,東京都江東区亀戸５丁目
専任,"5,200万円",準工,85.8万円,
公開中,60%,283.6万円,総武中央線　亀戸,徒歩　8分
,240%,一方,（株）長谷工リアルエステート　錦糸町センター
,南西4m,03-5638-6382
13,100127538322,売地,165.30㎡,千葉県千葉市花見川区幕張町４丁目
専任,"3,790万円",一住,23.0万円,
公開中,60%,75.8万円,総武中央線　幕張,徒歩　6分
,160%,一方,海浜不動産（株）　幕張支店
,2.8m,08013103635
14,100127608845,売地,154.62㎡,千葉県千葉市花見川区花園５丁目
専属,"4,380万円",一低,28.4万円,
公開中,60%,93.7万円,総武中央線　新検見川,徒歩　7分
,150%,一方,（株）永和住宅
,南4m,043-460-3355
15,100126586646,売地,138.84㎡,東京都江戸川区南小岩８丁目
専任,"2,000万円",一住,14.5万円,
公開中,60%,47.7万円,総武中央線　小岩,徒歩　7分
,300%,一方,（株）ハローホーム
,南東1.4m,03-5612-8646
16,100127788389,売地,179.31㎡,千葉県市川市平田１丁目
売主,"7,580万円",一低,42.3万円,
-,50%,139.8万円,総武中央線　本八幡,徒歩　11分
,100%,一方,ヤスイ住宅販売（株）
,-,047-330-9315
17,100127204102,売地,104.09㎡,千葉県千葉市稲毛区稲毛台町
一般,"4,490万円",一低,43.2万円,
-,60%,142.6万円,総武中央線　稲毛,徒歩　9分
,150%,-,（株）アバンティア不動産　千葉営業所
,北西4.1m,043-331-6340
